0.063s	14.61psia	21.88°C	0.832LPM	1.143mg/s	3.360g

146.948s	18.12psia	21.88°C	0.184LPM	0.314mg/s	3.414g

147.008s	18.12psia	21.87°C	0.184LPM	0.314mg/s	3.414g

147.068s	18.16psia	21.87°C	0.184LPM	0.315mg/s	3.414g

147.129s	18.13psia	21.87°C	0.184LPM	0.314mg/s	3.414g

147.190s	18.14psia	21.87°C	0.184LPM	0.314mg/s	3.414g

147.251s	18.11psia	21.87°C	0.184LPM	0.314mg/s	3.414g

147.311s	18.07psia	21.88°C	0.184LPM	0.315mg/s	3.414g

147.371s	18.14psia	21.87°C	0.184LPM	0.314mg/s	3.414g

147.431s	18.14psia	21.87°C	0.184LPM	0.314mg/s	3.414g

147.491s	18.12psia	21.87°C	0.183LPM	0.313mg/s	3.414g

147.551s	18.14psia	21.87°C	0.184LPM	0.315mg/s	3.414g

147.620s	18.14psia	21.86°C	0.184LPM	0.315mg/s	3.414g

147.680s	18.12psia	21.87°C	0.184LPM	0.315mg/s	3.414g

147.740s	18.12psia	21.87°C	0.185LPM	0.316mg/s	3.414g

147.808s	18.16psia	21.87°C	0.184LPM	0.314mg/s	3.414g

147.868s	18.16psia	21.87°C	0.183LPM	0.313mg/s	3.414g

147.928s	18.14psia	21.87°C	0.183LPM	0.314mg/s	3.414g

147.988s	18.15psia	21.87°C	0.184LPM	0.314mg/s	3.414g

148.048s	18.11psia	21.87°C	0.184LPM	0.313mg/s	3.414g

148.108s	18.14psia	21.87°C	0.184LPM	0.314mg/s	3.414g

148.168s	18.14psia	21.87°C	0.183LPM	0.314mg/s	3.414g

148.229s	18.11psia	21.87°C	0.184LPM	0.314mg/s	3.414g

148.289s	18.15psia	21.87°C	0.183LPM	0.313mg/s	3.414g

148.349s	18.14psia	21.87°C	0.184LPM	0.314mg/s	3.414g

148.409s	18.14psia	21.87°C	0.184LPM	0.314mg/s	3.414g

148.469s	18.12psia	21.87°C	0.184LPM	0.314mg/s	3.414g

148.529s	18.13psia	21.87°C	0.183LPM	0.312mg/s	3.414g

148.590s	18.12psia	21.87°C	0.183LPM	0.313mg/s	3.414g

148.650s	18.12psia	21.87°C	0.184LPM	0.314mg/s	3.414g

148.710s	18.16psia	21.87°C	0.183LPM	0.313mg/s	3.414g

148.770s	18.15psia	21.87°C	0.184LPM	0.314mg/s	3.414g

148.830s	18.14psia	21.87°C	0.184LPM	0.314mg/s	3.414g

148.891s	18.13psia	21.87°C	0.184LPM	0.315mg/s	3.414g

148.951s	18.09psia	21.87°C	0.184LPM	0.314mg/s	3.414g

149.012s	18.12psia	21.87°C	0.184LPM	0.315mg/s	3.414g

149.072s	18.12psia	21.88°C	0.184LPM	0.314mg/s	3.414g

149.132s	18.07psia	21.87°C	0.184LPM	0.314mg/s	3.414g

149.192s	18.11psia	21.87°C	0.184LPM	0.314mg/s	3.414g

149.253s	18.11psia	21.87°C	0.183LPM	0.313mg/s	3.414g

149.313s	18.14psia	21.87°C	0.184LPM	0.314mg/s	3.414g

149.373s	18.11psia	21.87°C	0.184LPM	0.315mg/s	3.414g

149.433s	18.13psia	21.87°C	0.183LPM	0.313mg/s	3.414g

149.494s	18.14psia	21.87°C	0.184LPM	0.314mg/s	3.414g

149.554s	18.14psia	21.87°C	0.184LPM	0.314mg/s	3.414g

149.614s	18.14psia	21.87°C	0.184LPM	0.315mg/s	3.414g

149.674s	18.13psia	21.87°C	0.183LPM	0.314mg/s	3.414g

149.734s	18.12psia	21.88°C	0.183LPM	0.314mg/s	3.414g

149.794s	18.12psia	21.87°C	0.184LPM	0.314mg/s	3.414g

149.855s	18.14psia	21.87°C	0.184LPM	0.314mg/s	3.414g

149.914s	18.17psia	21.87°C	0.183LPM	0.314mg/s	3.414g

149.975s	18.14psia	21.87°C	0.183LPM	0.313mg/s	3.415g

150.035s	18.11psia	21.87°C	0.183LPM	0.313mg/s	3.415g

150.095s	18.13psia	21.87°C	0.183LPM	0.313mg/s	3.415g

150.155s	18.11psia	21.87°C	0.184LPM	0.314mg/s	3.415g

150.215s	18.16psia	21.87°C	0.184LPM	0.314mg/s	3.415g

150.276s	18.12psia	21.87°C	0.183LPM	0.314mg/s	3.415g

150.336s	18.11psia	21.87°C	0.184LPM	0.314mg/s	3.415g

150.397s	18.14psia	21.87°C	0.183LPM	0.313mg/s	3.415g

150.457s	18.14psia	21.87°C	0.183LPM	0.313mg/s	3.415g

150.517s	18.10psia	21.87°C	0.183LPM	0.313mg/s	3.415g

150.577s	18.13psia	21.87°C	0.184LPM	0.314mg/s	3.415g

150.637s	18.14psia	21.87°C	0.184LPM	0.314mg/s	3.415g

150.698s	18.13psia	21.87°C	0.185LPM	0.316mg/s	3.415g

150.758s	18.12psia	21.87°C	0.185LPM	0.316mg/s	3.415g

150.818s	18.13psia	21.87°C	0.185LPM	0.315mg/s	3.415g

150.878s	18.14psia	21.87°C	0.185LPM	0.316mg/s	3.415g

150.938s	18.13psia	21.87°C	0.184LPM	0.315mg/s	3.415g

150.999s	18.16psia	21.87°C	0.184LPM	0.315mg/s	3.415g

151.059s	18.12psia	21.87°C	0.184LPM	0.314mg/s	3.415g

151.119s	18.13psia	21.87°C	0.184LPM	0.314mg/s	3.415g

151.180s	18.09psia	21.87°C	0.183LPM	0.313mg/s	3.415g

151.240s	18.14psia	21.87°C	0.184LPM	0.315mg/s	3.415g

151.301s	18.09psia	21.87°C	0.184LPM	0.314mg/s	3.415g

151.361s	18.13psia	21.87°C	0.184LPM	0.314mg/s	3.415g

151.421s	18.12psia	21.87°C	0.184LPM	0.314mg/s	3.415g

151.481s	18.14psia	21.87°C	0.184LPM	0.315mg/s	3.415g

151.542s	18.12psia	21.87°C	0.184LPM	0.314mg/s	3.415g

151.602s	18.12psia	21.87°C	0.184LPM	0.315mg/s	3.415g

151.662s	18.15psia	21.87°C	0.184LPM	0.315mg/s	3.415g

151.732s	18.14psia	21.87°C	0.183LPM	0.314mg/s	3.415g

151.792s	18.14psia	21.87°C	0.184LPM	0.314mg/s	3.415g

151.852s	18.15psia	21.87°C	0.184LPM	0.315mg/s	3.415g

151.919s	18.16psia	21.87°C	0.184LPM	0.315mg/s	3.415g

151.979s	18.08psia	21.87°C	0.184LPM	0.314mg/s	3.415g

152.040s	18.14psia	21.88°C	0.185LPM	0.316mg/s	3.415g

152.100s	18.13psia	21.87°C	0.184LPM	0.315mg/s	3.415g

152.161s	18.13psia	21.88°C	0.183LPM	0.313mg/s	3.415g

152.221s	18.11psia	21.87°C	0.184LPM	0.314mg/s	3.415g

152.281s	18.14psia	21.87°C	0.184LPM	0.314mg/s	3.415g

152.341s	18.13psia	21.87°C	0.183LPM	0.313mg/s	3.415g

152.401s	18.12psia	21.87°C	0.184LPM	0.315mg/s	3.415g

152.461s	18.09psia	21.87°C	0.184LPM	0.314mg/s	3.415g

152.522s	18.14psia	21.87°C	0.184LPM	0.315mg/s	3.415g

152.582s	18.13psia	21.87°C	0.184LPM	0.314mg/s	3.415g

152.642s	18.09psia	21.87°C	0.184LPM	0.314mg/s	3.415g

152.702s	18.13psia	21.87°C	0.184LPM	0.315mg/s	3.415g

152.762s	18.14psia	21.87°C	0.183LPM	0.313mg/s	3.415g

152.822s	18.15psia	21.87°C	0.184LPM	0.314mg/s	3.415g

152.882s	18.12psia	21.87°C	0.183LPM	0.313mg/s	3.416g

152.943s	18.13psia	21.87°C	0.183LPM	0.313mg/s	3.416g

153.003s	18.12psia	21.87°C	0.184LPM	0.315mg/s	3.416g

153.063s	18.14psia	21.87°C	0.184LPM	0.314mg/s	3.416g

153.123s	18.15psia	21.87°C	0.183LPM	0.313mg/s	3.416g

153.183s	18.12psia	21.87°C	0.183LPM	0.313mg/s	3.416g

153.243s	18.13psia	21.87°C	0.183LPM	0.313mg/s	3.416g

153.303s	18.12psia	21.87°C	0.183LPM	0.313mg/s	3.416g

153.364s	18.12psia	21.87°C	0.183LPM	0.314mg/s	3.416g

153.424s	18.13psia	21.87°C	0.183LPM	0.313mg/s	3.416g

153.484s	18.14psia	21.87°C	0.183LPM	0.313mg/s	3.416g

153.544s	18.12psia	21.87°C	0.184LPM	0.314mg/s	3.416g

153.604s	18.13psia	21.87°C	0.183LPM	0.312mg/s	3.416g

153.664s	18.16psia	21.87°C	0.183LPM	0.312mg/s	3.416g

153.724s	18.14psia	21.87°C	0.183LPM	0.314mg/s	3.416g

153.785s	18.13psia	21.87°C	0.183LPM	0.312mg/s	3.416g

153.845s	18.13psia	21.87°C	0.183LPM	0.313mg/s	3.416g

153.905s	18.14psia	21.87°C	0.184LPM	0.314mg/s	3.416g

153.965s	18.14psia	21.87°C	0.184LPM	0.314mg/s	3.416g

154.025s	18.14psia	21.88°C	0.183LPM	0.313mg/s	3.416g

154.085s	18.14psia	21.88°C	0.183LPM	0.313mg/s	3.416g

154.145s	18.08psia	21.87°C	0.183LPM	0.313mg/s	3.416g

154.206s	18.09psia	21.87°C	0.184LPM	0.314mg/s	3.416g

154.267s	18.14psia	21.87°C	0.183LPM	0.312mg/s	3.416g

154.327s	18.12psia	21.87°C	0.184LPM	0.314mg/s	3.416g

154.387s	18.13psia	21.87°C	0.184LPM	0.315mg/s	3.416g

154.448s	18.13psia	21.87°C	0.183LPM	0.313mg/s	3.416g

154.508s	18.13psia	21.88°C	0.183LPM	0.313mg/s	3.416g

154.568s	18.11psia	21.88°C	0.183LPM	0.313mg/s	3.416g

154.629s	18.14psia	21.86°C	0.184LPM	0.314mg/s	3.416g

154.689s	18.13psia	21.87°C	0.184LPM	0.315mg/s	3.416g

154.749s	18.14psia	21.87°C	0.184LPM	0.315mg/s	3.416g

154.810s	18.15psia	21.87°C	0.184LPM	0.315mg/s	3.416g

154.870s	18.14psia	21.87°C	0.183LPM	0.313mg/s	3.416g

154.930s	18.13psia	21.87°C	0.184LPM	0.315mg/s	3.416g

154.990s	18.10psia	21.87°C	0.184LPM	0.314mg/s	3.416g

155.050s	18.16psia	21.87°C	0.184LPM	0.315mg/s	3.416g

155.110s	18.12psia	21.87°C	0.184LPM	0.314mg/s	3.416g

155.171s	18.13psia	21.87°C	0.183LPM	0.313mg/s	3.416g

155.231s	18.15psia	21.87°C	0.184LPM	0.316mg/s	3.416g

155.291s	18.13psia	21.87°C	0.183LPM	0.314mg/s	3.416g

155.351s	18.12psia	21.87°C	0.183LPM	0.313mg/s	3.416g

155.411s	18.14psia	21.88°C	0.183LPM	0.313mg/s	3.416g

155.471s	18.14psia	21.87°C	0.184LPM	0.315mg/s	3.416g

155.532s	18.11psia	21.87°C	0.184LPM	0.314mg/s	3.416g

155.592s	18.13psia	21.87°C	0.184LPM	0.314mg/s	3.416g

155.652s	18.13psia	21.87°C	0.184LPM	0.315mg/s	3.416g

155.712s	18.14psia	21.87°C	0.184LPM	0.314mg/s	3.416g

155.772s	18.15psia	21.88°C	0.183LPM	0.314mg/s	3.416g

155.841s	18.14psia	21.86°C	0.184LPM	0.314mg/s	3.416g

155.901s	18.07psia	21.87°C	0.183LPM	0.312mg/s	3.416g

155.961s	18.14psia	21.87°C	0.184LPM	0.314mg/s	3.416g

156.029s	18.14psia	21.87°C	0.184LPM	0.314mg/s	3.417g

156.089s	18.12psia	21.87°C	0.183LPM	0.313mg/s	3.417g

156.149s	18.12psia	21.87°C	0.184LPM	0.315mg/s	3.417g

156.209s	18.12psia	21.87°C	0.183LPM	0.313mg/s	3.417g

156.269s	18.13psia	21.87°C	0.184LPM	0.314mg/s	3.417g

156.329s	18.14psia	21.87°C	0.184LPM	0.314mg/s	3.417g

156.390s	18.11psia	21.87°C	0.183LPM	0.313mg/s	3.417g

156.450s	18.14psia	21.87°C	0.183LPM	0.313mg/s	3.417g

156.510s	18.11psia	21.88°C	0.183LPM	0.314mg/s	3.417g

156.570s	18.12psia	21.87°C	0.184LPM	0.315mg/s	3.417g

156.630s	18.16psia	21.87°C	0.184LPM	0.316mg/s	3.417g

156.690s	18.14psia	21.88°C	0.184LPM	0.314mg/s	3.417g

156.751s	18.14psia	21.87°C	0.184LPM	0.314mg/s	3.417g

156.812s	18.14psia	21.87°C	0.183LPM	0.314mg/s	3.417g

156.872s	18.12psia	21.87°C	0.183LPM	0.312mg/s	3.417g

156.932s	18.13psia	21.87°C	0.184LPM	0.314mg/s	3.417g

156.992s	18.17psia	21.87°C	0.183LPM	0.314mg/s	3.417g

157.053s	18.16psia	21.87°C	0.183LPM	0.313mg/s	3.417g

157.113s	18.13psia	21.87°C	0.184LPM	0.314mg/s	3.417g

157.173s	18.14psia	21.87°C	0.184LPM	0.314mg/s	3.417g

157.234s	18.14psia	21.87°C	0.184LPM	0.315mg/s	3.417g

157.295s	18.11psia	21.87°C	0.185LPM	0.316mg/s	3.417g

157.355s	18.11psia	21.87°C	0.184LPM	0.315mg/s	3.417g

157.415s	18.12psia	21.87°C	0.184LPM	0.314mg/s	3.417g

157.475s	18.14psia	21.87°C	0.184LPM	0.315mg/s	3.417g

157.535s	18.12psia	21.87°C	0.184LPM	0.315mg/s	3.417g

157.596s	18.11psia	21.88°C	0.184LPM	0.315mg/s	3.417g

157.656s	18.12psia	21.88°C	0.184LPM	0.314mg/s	3.417g

157.717s	18.14psia	21.87°C	0.184LPM	0.314mg/s	3.417g

157.777s	18.12psia	21.87°C	0.184LPM	0.315mg/s	3.417g

157.837s	18.12psia	21.87°C	0.184LPM	0.314mg/s	3.417g

157.897s	18.12psia	21.87°C	0.184LPM	0.314mg/s	3.417g

157.957s	18.13psia	21.88°C	0.184LPM	0.316mg/s	3.417g

158.018s	18.16psia	21.87°C	0.184LPM	0.315mg/s	3.417g

158.078s	18.11psia	21.87°C	0.184LPM	0.314mg/s	3.417g

158.138s	18.15psia	21.87°C	0.183LPM	0.313mg/s	3.417g

158.198s	18.15psia	21.87°C	0.183LPM	0.314mg/s	3.417g

158.259s	18.14psia	21.87°C	0.183LPM	0.314mg/s	3.417g

158.319s	18.11psia	21.87°C	0.183LPM	0.312mg/s	3.417g

158.380s	18.13psia	21.87°C	0.184LPM	0.315mg/s	3.417g

158.440s	18.12psia	21.87°C	0.184LPM	0.315mg/s	3.417g

158.500s	18.12psia	21.87°C	0.183LPM	0.313mg/s	3.417g

158.561s	18.15psia	21.87°C	0.183LPM	0.313mg/s	3.417g

158.621s	18.13psia	21.87°C	0.183LPM	0.314mg/s	3.417g

158.681s	18.14psia	21.87°C	0.184LPM	0.314mg/s	3.417g

158.741s	18.11psia	21.87°C	0.184LPM	0.314mg/s	3.417g

158.802s	18.11psia	21.87°C	0.184LPM	0.314mg/s	3.417g

158.862s	18.14psia	21.87°C	0.184LPM	0.314mg/s	3.417g

158.922s	18.14psia	21.87°C	0.184LPM	0.314mg/s	3.417g

158.982s	18.14psia	21.87°C	0.184LPM	0.314mg/s	3.417g

159.043s	18.12psia	21.87°C	0.184LPM	0.314mg/s	3.417g

159.104s	18.14psia	21.87°C	0.184LPM	0.315mg/s	3.417g

159.164s	18.09psia	21.87°C	0.184LPM	0.314mg/s	3.417g

159.224s	18.10psia	21.86°C	0.183LPM	0.314mg/s	3.417g

159.284s	18.14psia	21.87°C	0.183LPM	0.313mg/s	3.417g

159.344s	18.15psia	21.86°C	0.184LPM	0.314mg/s	3.417g

159.404s	18.10psia	21.87°C	0.183LPM	0.313mg/s	3.417g

159.465s	18.11psia	21.87°C	0.184LPM	0.315mg/s	3.418g

159.525s	18.14psia	21.87°C	0.184LPM	0.315mg/s	3.418g

159.585s	18.12psia	21.87°C	0.184LPM	0.314mg/s	3.418g

159.645s	18.15psia	21.87°C	0.184LPM	0.314mg/s	3.418g

159.705s	18.13psia	21.87°C	0.183LPM	0.313mg/s	3.418g

159.765s	18.08psia	21.87°C	0.183LPM	0.313mg/s	3.418g

159.826s	18.12psia	21.87°C	0.184LPM	0.314mg/s	3.418g

159.887s	18.13psia	21.87°C	0.184LPM	0.316mg/s	3.418g

159.955s	18.14psia	21.86°C	0.184LPM	0.315mg/s	3.418g

160.015s	18.13psia	21.87°C	0.184LPM	0.314mg/s	3.418g

160.075s	18.13psia	21.87°C	0.184LPM	0.314mg/s	3.418g

160.142s	18.14psia	21.87°C	0.184LPM	0.315mg/s	3.418g

160.202s	18.12psia	21.88°C	0.184LPM	0.315mg/s	3.418g

160.262s	18.15psia	21.87°C	0.184LPM	0.315mg/s	3.418g

160.323s	18.14psia	21.87°C	0.184LPM	0.314mg/s	3.418g

160.383s	18.11psia	21.87°C	0.183LPM	0.314mg/s	3.418g

160.443s	18.16psia	21.87°C	0.184LPM	0.314mg/s	3.418g

160.504s	18.12psia	21.88°C	0.184LPM	0.314mg/s	3.418g

160.564s	18.13psia	21.87°C	0.184LPM	0.314mg/s	3.418g

160.624s	18.11psia	21.87°C	0.184LPM	0.314mg/s	3.418g

160.685s	18.14psia	21.87°C	0.184LPM	0.314mg/s	3.418g

160.745s	18.15psia	21.87°C	0.184LPM	0.315mg/s	3.418g

160.805s	18.13psia	21.87°C	0.184LPM	0.315mg/s	3.418g

160.865s	18.11psia	21.87°C	0.184LPM	0.315mg/s	3.418g

160.926s	18.12psia	21.87°C	0.184LPM	0.314mg/s	3.418g

160.986s	18.08psia	21.87°C	0.184LPM	0.315mg/s	3.418g

161.046s	18.14psia	21.87°C	0.185LPM	0.316mg/s	3.418g

161.106s	18.12psia	21.87°C	0.184LPM	0.314mg/s	3.418g

161.166s	18.14psia	21.87°C	0.185LPM	0.316mg/s	3.418g

161.227s	18.10psia	21.87°C	0.185LPM	0.315mg/s	3.418g

161.287s	18.08psia	21.87°C	0.185LPM	0.316mg/s	3.418g

161.347s	18.14psia	21.87°C	0.184LPM	0.315mg/s	3.418g

161.407s	18.14psia	21.87°C	0.184LPM	0.314mg/s	3.418g

161.467s	18.15psia	21.87°C	0.184LPM	0.314mg/s	3.418g

161.527s	18.17psia	21.87°C	0.184LPM	0.314mg/s	3.418g

161.587s	18.14psia	21.87°C	0.184LPM	0.315mg/s	3.418g

161.648s	18.13psia	21.87°C	0.184LPM	0.315mg/s	3.418g

161.708s	18.15psia	21.87°C	0.184LPM	0.314mg/s	3.418g

161.768s	18.14psia	21.87°C	0.184LPM	0.314mg/s	3.418g

161.828s	18.13psia	21.87°C	0.184LPM	0.314mg/s	3.418g

161.888s	18.14psia	21.87°C	0.184LPM	0.315mg/s	3.418g

161.948s	18.14psia	21.87°C	0.184LPM	0.315mg/s	3.418g

162.009s	18.12psia	21.87°C	0.184LPM	0.313mg/s	3.418g

162.069s	18.14psia	21.87°C	0.183LPM	0.313mg/s	3.418g

162.129s	18.08psia	21.87°C	0.183LPM	0.313mg/s	3.418g

162.189s	18.13psia	21.87°C	0.185LPM	0.316mg/s	3.418g

162.249s	18.12psia	21.87°C	0.183LPM	0.312mg/s	3.418g

162.309s	18.15psia	21.87°C	0.184LPM	0.314mg/s	3.418g

162.369s	18.12psia	21.87°C	0.184LPM	0.314mg/s	3.418g

162.430s	18.12psia	21.87°C	0.184LPM	0.314mg/s	3.418g

162.490s	18.14psia	21.87°C	0.184LPM	0.315mg/s	3.418g

162.550s	18.11psia	21.87°C	0.184LPM	0.314mg/s	3.418g

162.610s	18.11psia	21.87°C	0.184LPM	0.314mg/s	3.418g

162.671s	18.12psia	21.87°C	0.184LPM	0.314mg/s	3.418g

162.731s	18.12psia	21.87°C	0.184LPM	0.315mg/s	3.418g

162.791s	18.14psia	21.87°C	0.183LPM	0.313mg/s	3.418g

162.852s	18.11psia	21.87°C	0.183LPM	0.313mg/s	3.419g

162.912s	18.14psia	21.87°C	0.184LPM	0.314mg/s	3.419g

162.972s	18.10psia	21.87°C	0.184LPM	0.314mg/s	3.419g

163.032s	18.11psia	21.87°C	0.184LPM	0.314mg/s	3.419g

163.092s	18.13psia	21.87°C	0.184LPM	0.314mg/s	3.419g

163.152s	18.12psia	21.87°C	0.183LPM	0.314mg/s	3.419g

163.212s	18.13psia	21.87°C	0.184LPM	0.315mg/s	3.419g

163.272s	18.12psia	21.87°C	0.183LPM	0.313mg/s	3.419g

163.333s	18.14psia	21.87°C	0.184LPM	0.315mg/s	3.419g

163.393s	18.12psia	21.87°C	0.183LPM	0.313mg/s	3.419g

163.453s	18.12psia	21.87°C	0.184LPM	0.314mg/s	3.419g

163.513s	18.14psia	21.87°C	0.184LPM	0.314mg/s	3.419g

163.573s	18.12psia	21.87°C	0.184LPM	0.315mg/s	3.419g

163.633s	18.15psia	21.88°C	0.184LPM	0.315mg/s	3.419g

163.693s	18.12psia	21.87°C	0.184LPM	0.315mg/s	3.419g

163.754s	18.15psia	21.87°C	0.184LPM	0.315mg/s	3.419g

163.814s	18.12psia	21.87°C	0.184LPM	0.313mg/s	3.419g

163.874s	18.14psia	21.87°C	0.183LPM	0.313mg/s	3.419g

163.934s	18.14psia	21.87°C	0.184LPM	0.314mg/s	3.419g

163.994s	18.12psia	21.87°C	0.184LPM	0.314mg/s	3.419g

164.064s	18.14psia	21.87°C	0.183LPM	0.314mg/s	3.419g

164.124s	18.13psia	21.87°C	0.183LPM	0.313mg/s	3.419g

164.184s	18.12psia	21.87°C	0.183LPM	0.312mg/s	3.419g

164.252s	18.13psia	21.86°C	0.184LPM	0.314mg/s	3.419g

164.312s	18.14psia	21.87°C	0.184LPM	0.315mg/s	3.419g

164.372s	18.13psia	21.87°C	0.183LPM	0.313mg/s	3.419g

164.432s	18.14psia	21.87°C	0.184LPM	0.314mg/s	3.419g

164.493s	18.12psia	21.87°C	0.184LPM	0.314mg/s	3.419g

164.553s	18.14psia	21.86°C	0.184LPM	0.315mg/s	3.419g

164.614s	18.13psia	21.87°C	0.183LPM	0.314mg/s	3.419g

164.674s	18.12psia	21.87°C	0.184LPM	0.314mg/s	3.419g

164.734s	18.14psia	21.87°C	0.185LPM	0.316mg/s	3.419g

164.794s	18.12psia	21.87°C	0.184LPM	0.315mg/s	3.419g

164.854s	18.15psia	21.87°C	0.184LPM	0.316mg/s	3.419g

164.914s	18.12psia	21.88°C	0.183LPM	0.313mg/s	3.419g

164.974s	18.12psia	21.87°C	0.184LPM	0.314mg/s	3.419g

165.034s	18.11psia	21.87°C	0.184LPM	0.315mg/s	3.419g

165.095s	18.12psia	21.87°C	0.183LPM	0.313mg/s	3.419g

165.155s	18.14psia	21.87°C	0.184LPM	0.314mg/s	3.419g

165.216s	18.12psia	21.87°C	0.184LPM	0.314mg/s	3.419g

165.277s	18.12psia	21.87°C	0.184LPM	0.315mg/s	3.419g

165.337s	18.13psia	21.87°C	0.184LPM	0.315mg/s	3.419g

165.397s	18.12psia	21.88°C	0.184LPM	0.315mg/s	3.419g

165.457s	18.12psia	21.87°C	0.184LPM	0.315mg/s	3.420g

165.518s	18.14psia	21.87°C	0.184LPM	0.315mg/s	3.420g

165.578s	18.12psia	21.87°C	0.185LPM	0.317mg/s	3.420g

165.638s	18.14psia	21.87°C	0.185LPM	0.316mg/s	3.420g

165.698s	18.12psia	21.87°C	0.184LPM	0.316mg/s	3.420g

165.761s	18.12psia	21.87°C	0.184LPM	0.315mg/s	3.420g

165.823s	18.13psia	21.87°C	0.184LPM	0.314mg/s	3.420g

165.884s	18.10psia	21.87°C	0.184LPM	0.315mg/s	3.420g

165.956s	18.12psia	21.88°C	0.185LPM	0.316mg/s	3.420g

166.016s	18.11psia	21.87°C	0.185LPM	0.316mg/s	3.420g

166.076s	18.12psia	21.87°C	0.185LPM	0.316mg/s	3.420g

166.136s	18.11psia	21.87°C	0.184LPM	0.315mg/s	3.420g

166.196s	18.14psia	21.87°C	0.184LPM	0.315mg/s	3.420g

166.257s	18.15psia	21.87°C	0.184LPM	0.315mg/s	3.420g

166.317s	18.10psia	21.87°C	0.184LPM	0.314mg/s	3.420g

166.377s	18.11psia	21.87°C	0.183LPM	0.314mg/s	3.420g

166.437s	18.13psia	21.88°C	0.184LPM	0.314mg/s	3.420g

166.497s	18.14psia	21.87°C	0.184LPM	0.315mg/s	3.420g

166.557s	18.15psia	21.88°C	0.184LPM	0.316mg/s	3.420g

166.617s	18.16psia	21.87°C	0.184LPM	0.314mg/s	3.420g

166.677s	18.15psia	21.87°C	0.184LPM	0.315mg/s	3.420g

166.738s	18.13psia	21.87°C	0.184LPM	0.314mg/s	3.420g

166.798s	18.14psia	21.87°C	0.184LPM	0.314mg/s	3.420g

166.858s	18.13psia	21.88°C	0.184LPM	0.314mg/s	3.420g

166.918s	18.15psia	21.87°C	0.184LPM	0.315mg/s	3.420g

166.978s	18.14psia	21.87°C	0.184LPM	0.314mg/s	3.420g

167.039s	18.16psia	21.87°C	0.184LPM	0.314mg/s	3.420g

167.099s	18.16psia	21.87°C	0.183LPM	0.313mg/s	3.420g

167.159s	18.12psia	21.88°C	0.184LPM	0.315mg/s	3.420g

167.220s	18.12psia	21.87°C	0.184LPM	0.314mg/s	3.420g

167.280s	18.14psia	21.87°C	0.184LPM	0.315mg/s	3.420g

167.340s	18.13psia	21.87°C	0.184LPM	0.315mg/s	3.420g

167.400s	18.13psia	21.87°C	0.184LPM	0.315mg/s	3.420g

167.460s	18.13psia	21.88°C	0.184LPM	0.314mg/s	3.420g

167.521s	18.12psia	21.87°C	0.184LPM	0.314mg/s	3.420g

167.581s	18.09psia	21.88°C	0.184LPM	0.314mg/s	3.420g

167.642s	18.14psia	21.87°C	0.183LPM	0.313mg/s	3.420g

167.702s	18.13psia	21.87°C	0.184LPM	0.315mg/s	3.420g

167.762s	18.10psia	21.88°C	0.184LPM	0.315mg/s	3.420g

167.822s	18.12psia	21.87°C	0.184LPM	0.314mg/s	3.420g

167.882s	18.16psia	21.87°C	0.184LPM	0.314mg/s	3.420g

167.942s	18.11psia	21.87°C	0.184LPM	0.314mg/s	3.420g

168.003s	18.11psia	21.87°C	0.184LPM	0.315mg/s	3.420g

168.063s	18.12psia	21.87°C	0.184LPM	0.314mg/s	3.420g

168.124s	18.12psia	21.87°C	0.184LPM	0.314mg/s	3.420g

168.184s	18.12psia	21.86°C	0.184LPM	0.315mg/s	3.420g

168.244s	18.12psia	21.87°C	0.184LPM	0.314mg/s	3.420g

168.304s	18.12psia	21.87°C	0.184LPM	0.314mg/s	3.420g

168.364s	18.12psia	21.87°C	0.183LPM	0.313mg/s	3.420g

168.425s	18.14psia	21.87°C	0.183LPM	0.314mg/s	3.420g

168.485s	18.14psia	21.87°C	0.183LPM	0.313mg/s	3.420g

168.545s	18.11psia	21.88°C	0.183LPM	0.314mg/s	3.420g

168.605s	18.13psia	21.87°C	0.183LPM	0.314mg/s	3.420g

168.666s	18.12psia	21.87°C	0.183LPM	0.313mg/s	3.420g

168.726s	18.11psia	21.87°C	0.184LPM	0.314mg/s	3.420g

168.786s	18.10psia	21.87°C	0.183LPM	0.314mg/s	3.420g

168.847s	18.14psia	21.87°C	0.184LPM	0.314mg/s	3.420g

168.907s	18.11psia	21.87°C	0.183LPM	0.313mg/s	3.421g

168.967s	18.16psia	21.87°C	0.184LPM	0.316mg/s	3.421g

169.027s	18.14psia	21.87°C	0.184LPM	0.314mg/s	3.421g

169.087s	18.14psia	21.87°C	0.184LPM	0.314mg/s	3.421g

